Mã,Tên SP,BH (Tháng),Giá bán,Tồn HN,Tồn SG,Ngành hàng,Thương hiệu,Action
CP012745,Bộ vi xử lý AMD Ryzen 5 3400G Tray3636,36,1880000.0000,0.0,0.0,CPU PC,AMD,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP002709,Bộ vi xử lý AMD Ryzen 5 3600 BOX Hãng,36,2500000.0000,0.0,0.0,CPU PC,AMD,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP012792,Bộ vi xử lý AMD Ryzen 5 5600 Tray,36,3000000.0000,0.0,0.0,CPU PC,AMD,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP002712,Bộ vi xử lý AMD Ryzen 5 5600X Tray,36,3190000.0000,0.0,0.0,CPU PC,AMD,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP009944,Bộ vi xử lý AMD Ryzen 5 7500F Tray,36,3450000.0000,0.0,0.0,CPU PC,AMD,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP009948,Bộ vi xử lý AMD Ryzen 5 8400F Tray,36,3060000.0000,0.0,0.0,CPU PC,AMD,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP007626,Bộ vi xử lý AMD Ryzen 5 Processors 5500 Tray,36,2050000.0000,0.0,0.0,CPU PC,AMD,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP002803251,Bộ vi xử lý AMD Ryzen 7 5700X Tray,36,3760000.0000,0.0,0.0,CPU PC,AMD,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000011,Bộ vi xử lý AMD Ryzen 7 5800X Tray,36,4200000.0000,0.0,0.0,CPU PC,AMD,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP001569,Bộ vi xử lý AMD Ryzen 7 7700X BOX Hãng,36,8900000.0000,0.0,0.0,CPU PC,AMD,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
